,Name,Distance (mi),Moving Time (hr),Elevation Gain (ft),Average Heartrate (bpm),Average Power (w),Date,Day of the Week
82,Afternoon Ride,10.2,1.48,2263.78,143.6,,2023-06-25,6
83,Morning Ride,34.88,2.48,2588.58,130.0,148.0,2023-06-23,4
84,Lunch Ride,71.08,3.76,4137.14,163.1,176.0,2023-06-22,3
85,Lunch Ride,34.17,2.08,2385.17,156.8,143.0,2023-06-20,1
86,Proper farewell ,45.35,2.9,3238.19,153.5,197.0,2023-06-15,3
87,Le Tour Guide ,93.87,6.48,10108.27,148.2,184.0,2023-06-10,5
88,Morning Ride,138.08,9.09,10301.84,145.3,732.0,2023-06-03,5
89,Closed on Tuesdays,67.17,4.86,8185.7,141.7,163.0,2023-05-30,1
90,Morning Ride,104.04,5.13,4471.78,154.5,203.0,2023-05-28,6
91,Morning Ride,102.48,5.0,2883.86,162.2,211.0,2023-05-27,5
92,Afternoon Ride,26.75,2.06,2621.39,156.3,,2023-05-26,4
93,Afternoon Ride,29.76,1.82,2230.97,139.6,175.0,2023-05-23,1
94,Afternoon Ride,54.49,2.89,2165.35,152.3,193.0,2023-05-21,6
95,Morning Ride,84.78,3.92,2657.48,165.5,214.0,2023-05-20,5
96,Morning Ride,12.72,0.9,505.25,,127.0,2023-05-19,4
97,Morning Ride,82.81,4.85,6627.3,153.3,192.0,2023-05-13,5
98,Morning Ride,35.66,3.17,4609.58,146.7,,2023-05-10,2
99,Afternoon Ride,30.88,2.88,4307.74,156.6,,2023-05-08,0
100,Morning Ride,87.73,5.21,7506.56,154.7,201.0,2023-05-06,5
101,Afternoon Ride,33.33,3.13,3835.3,148.4,,2023-05-05,4
102,Afternoon Ride,23.14,1.96,2795.28,152.1,,2023-05-02,1
103,Morning Ride,77.8,4.05,5396.98,165.8,218.0,2023-04-29,5
104,Morning Ride,16.18,1.29,1207.35,,,2023-04-28,4
105,Morning Ride,28.99,2.39,3336.61,152.9,,2023-04-27,3
106,Lunch Ride,45.78,3.98,4901.57,156.8,,2023-04-22,5
107,Afternoon Ride,32.87,2.44,3310.37,,177.0,2023-04-21,4
108,Waffle ,125.25,8.47,10262.47,157.8,182.0,2023-04-16,6
109,🇧🇪🧇,27.19,1.98,2814.96,148.6,181.0,2023-04-14,4
110,What the fog ,38.09,2.53,2936.35,145.3,171.0,2023-04-09,6
111,Morning Ride,83.53,5.39,8651.58,158.3,177.0,2023-04-08,5
112,21 🎂🎈,97.47,6.63,10127.95,157.2,193.0,2023-04-04,1
113,Afternoon Ride,36.69,2.74,3881.23,143.2,187.0,2023-03-31,4
114,Morning Ride,78.78,5.32,8375.98,157.3,188.0,2023-03-30,3
115,Le Coast: Day 3 ,54.88,3.48,3576.12,,152.0,2023-03-27,0
116,Le Coast: Day 2 ,101.78,7.54,7017.72,141.8,164.0,2023-03-26,6
117,Le Coast: Day 1 ,104.62,6.96,5098.43,139.6,148.0,2023-03-25,5
118,Morning Ride,24.01,1.9,2234.25,,142.0,2023-03-16,3
119,Santa Barbara RR ,43.51,1.89,1948.82,164.5,224.0,2023-03-11,5
120,Afternoon Run,10.61,1.59,731.63,159.8,,2023-03-09,3
121,Lunch Ride,22.99,1.66,2270.34,139.4,164.0,2023-03-07,1
122,Afternoon Ride,17.19,0.68,305.12,,233.0,2023-03-05,6
123,24 x 30s ,40.46,2.41,3740.16,154.2,207.0,2023-03-04,5
124,Morning Run,4.7,0.69,187.01,159.3,,2023-03-03,4
125,Morning Ride,44.56,2.95,4583.33,156.3,206.0,2023-03-02,3
126,Afternoon Ride,17.04,0.66,360.89,,246.0,2023-02-26,6
127,Morning Ride,13.15,0.51,232.94,182.1,259.0,2023-02-26,6
128,33 degrees and raining ,22.03,1.89,2316.27,,,2023-02-25,5
129,Afternoon Run,8.09,1.2,784.12,165.9,,2023-02-24,4
130,Vibrant ,112.44,6.51,10032.81,158.5,188.0,2023-02-20,0
131,Afternoon Ride,27.21,2.38,3339.9,155.8,,2023-02-19,6
132,Lunch Ride,64.82,3.52,2887.14,152.3,182.0,2023-02-18,5
133,Morning Ride,24.97,2.05,2595.14,155.1,,2023-02-17,4
134,Zwift ,29.71,1.51,843.18,132.8,160.0,2023-02-16,3
135,Morning Ride,88.67,5.55,8175.85,155.5,182.0,2023-02-07,1
136,Belly full of salmon ,18.6,1.2,1446.85,141.4,171.0,2023-02-07,1
